operation,bytes,avx2_ns,avx512bw_ns,avx512vbmi_ns,bw_vs_avx2_pct,vbmi_vs_avx2_pct,bw_run_spread_pct,vbmi_run_spread_pct,best
copy,64,1.475,1.500,1.499,-1.67,-1.60,0.40,0.27,avx2
copy,256,2.672,2.087,2.092,28.02,27.75,1.77,0.86,avx512bw
copy,1024,7.742,4.849,4.538,59.67,70.61,0.99,3.35,avx512vbmi
copy,4096,24.827,16.415,14.696,51.25,68.94,2.28,4.97,avx512vbmi
copy,16384,104.124,71.525,73.751,45.58,41.18,0.68,1.64,avx512bw
copy,65536,786.262,543.621,542.976,44.63,44.81,0.81,2.73,avx512vbmi
copy,262144,3006.453,1821.828,1636.438,65.02,83.72,2.86,0.17,avx512vbmi
copy,1048576,15578.375,13932.688,14033.657,11.81,11.01,0.13,0.42,avx512bw
copy,4194304,64122.125,51765.750,52004.500,23.87,23.30,0.68,0.13,avx512bw
copy,16777216,258343.500,205903.000,204993.000,25.47,26.03,0.25,1.01,avx512vbmi
xor,64,1.662,1.688,1.688,-1.57,-1.51,0.30,0.30,avx2
xor,256,3.324,2.617,2.601,26.97,27.78,2.71,3.38,avx512vbmi
xor,1024,10.099,7.101,7.213,42.22,40.03,29.56,31.07,avx512bw
xor,4096,34.281,20.557,20.880,66.76,64.18,0.28,0.14,avx512bw
xor,16384,144.789,92.059,87.051,57.28,66.33,1.70,0.69,avx512vbmi
xor,65536,1096.210,804.222,807.731,36.31,35.71,0.22,0.43,avx512bw
xor,262144,4308.431,2819.465,2847.942,52.81,51.28,3.72,4.23,avx512bw
xor,1048576,23939.863,21990.273,22161.637,8.87,8.02,2.29,2.46,avx512bw
xor,4194304,97861.500,77659.500,78091.167,26.01,25.32,0.60,0.01,avx512bw
xor,16777216,346364.500,309849.000,309619.000,11.78,11.87,0.56,0.22,avx512vbmi
mul,64,2.468,2.090,2.281,18.14,8.22,0.53,0.96,avx512bw
mul,256,6.184,3.554,4.445,74.02,39.13,8.27,2.97,avx512bw
mul,1024,23.498,9.724,12.817,141.63,83.33,6.51,0.48,avx512bw
mul,4096,92.990,35.247,46.669,163.82,99.25,0.43,0.07,avx512bw
mul,16384,377.949,137.555,178.186,174.76,112.11,0.32,4.94,avx512bw
mul,65536,1579.496,741.418,933.996,113.04,69.11,3.22,0.45,avx512bw
mul,262144,6183.211,2765.344,3411.149,123.60,81.26,3.72,1.86,avx512bw
mul,1048576,26491.312,14071.468,16230.875,88.26,63.22,0.68,0.89,avx512bw
mul,4194304,112477.875,54995.875,64755.875,104.52,73.70,9.87,0.08,avx512bw
mul,16777216,421706.000,210523.000,272449.000,100.31,54.78,0.48,3.33,avx512bw
radix4,64,7.503,6.670,12.587,12.50,-40.39,1.06,0.01,avx512bw
radix4,256,21.309,15.961,20.566,33.51,3.61,6.30,7.83,avx512bw
radix4,1024,85.859,46.370,63.200,85.16,35.85,11.04,4.02,avx512bw
radix4,4096,317.627,178.562,262.201,77.88,21.14,6.82,2.00,avx512bw
radix4,16384,1537.328,832.258,1171.969,84.72,31.17,2.07,0.31,avx512bw
radix4,65536,5420.547,3123.485,4610.461,73.54,17.57,0.45,0.78,avx512bw
radix4,262144,21691.562,12738.625,18815.250,70.28,15.29,1.41,2.07,avx512bw
radix4,1048576,88235.125,53647.000,78509.875,64.47,12.39,0.07,1.85,avx512bw
radix4,4194304,369695.500,210073.000,310859.000,75.98,18.93,5.93,1.39,avx512bw
radix4,16777216,1268418.500,911662.500,1303839.500,39.13,-2.72,6.92,5.63,avx512bw
radix8,64,14.395,11.887,18.604,21.10,-22.62,5.40,0.71,avx512bw
radix8,256,52.926,23.834,43.228,122.06,22.43,2.07,10.53,avx512bw
radix8,1024,204.700,93.387,170.945,119.19,19.75,0.07,10.72,avx512bw
radix8,4096,787.746,368.980,686.299,113.49,14.78,0.07,11.12,avx512bw
radix8,16384,3757.164,1772.176,2825.234,112.01,32.99,4.25,10.22,avx512bw
radix8,65536,12566.437,6680.094,11326.094,88.12,10.95,3.69,9.92,avx512bw
radix8,262144,52576.375,29247.312,47839.500,79.76,9.90,4.84,8.93,avx512bw
radix8,1048576,214320.500,126414.250,198823.000,69.54,7.79,3.71,7.60,avx512bw
radix8,4194304,865422.500,464642.000,763155.500,86.26,13.40,2.88,8.53,avx512bw
radix8,16777216,4347547.500,3183915.500,4147765.000,36.55,4.82,0.33,5.34,avx512bw
codec,64,36.730,20.664,31.898,77.75,15.15,3.88,3.35,avx512bw
codec,256,138.526,67.697,115.151,104.63,20.30,5.73,5.15,avx512bw
codec,1024,614.394,287.276,461.428,113.87,33.15,5.44,5.46,avx512bw
codec,4096,2355.495,1099.447,1813.053,114.24,29.92,6.67,7.12,avx512bw
codec,16384,9684.088,4417.070,7273.614,119.24,33.14,7.19,7.37,avx512bw
codec,65536,32448.467,17583.600,29592.400,84.54,9.65,5.74,5.98,avx512bw
codec,262144,133564.500,75818.750,122465.625,76.16,9.06,3.48,6.47,avx512bw
codec,1048576,524082.000,304250.000,486652.000,72.25,7.69,2.65,6.15,avx512bw
codec,4194304,1999544.000,1170557.000,1902012.000,70.82,5.13,4.09,7.26,avx512bw
codec,16777216,9564527.500,6935115.000,9075640.500,37.91,5.39,29.78,13.21,avx512bw
