operation,variant,bytes,iterations,samples,median_ns,mad_ns,min_ns,max_ns,median_cycles,cycles_per_byte,shard_gb_s,logical_traffic_gb_s,freq_before_mhz,freq_after_mhz,checksum
copy,scalar,64,262144,9,1.800,0.007,1.736,1.808,7.739,0.121,35.561,71.122,5563.321,5563.321,0
xor,scalar,64,174763,9,2.094,0.004,2.086,2.102,9.003,0.141,30.568,91.705,5541.318,5519.146,108
mul,scalar,64,262144,9,12.156,0.003,12.148,12.181,52.269,0.817,5.265,10.530,5517.212,5517.212,184
radix4,scalar,64,65536,9,68.688,0.660,67.889,70.016,295.357,4.615,0.932,7.454,5477.552,5477.077,118
radix8,scalar,64,32768,9,170.874,0.264,170.479,171.875,734.752,11.480,0.375,5.993,5517.118,5519.430,88
codec,scalar,64,14564,9,338.601,0.304,335.290,339.609,1455.974,22.750,0.189,6.804,5550.415,5554.009,194
copy,avx2,64,262144,9,1.473,0.005,1.464,1.568,6.334,0.099,43.451,86.902,5554.071,5554.071,119
xor,avx2,64,174763,9,1.661,0.004,1.656,1.784,7.143,0.112,38.528,115.584,5443.733,5443.733,27
mul,avx2,64,262144,9,2.437,0.005,2.396,2.510,10.480,0.164,26.260,52.519,5459.275,5478.575,207
radix4,avx2,64,65536,9,7.599,0.102,7.365,7.706,32.677,0.511,8.422,67.379,5490.878,5490.878,1
radix8,avx2,64,32768,9,14.521,0.367,13.964,15.144,62.445,0.976,4.407,70.517,5511.162,5511.162,54
codec,avx2,64,14564,9,35.862,1.228,34.140,38.780,154.214,2.410,1.785,64.246,5414.694,5414.694,245
copy,avx512bw,64,262144,9,1.497,0.002,1.493,1.507,6.438,0.101,42.749,85.499,5355.042,5355.042,64
xor,avx512bw,64,174763,9,1.686,0.001,1.684,1.698,7.250,0.113,37.964,113.893,5339.657,5339.657,44
mul,avx512bw,64,262144,9,2.084,0.003,2.075,2.149,8.963,0.140,30.707,61.414,5350.173,5350.173,248
radix4,avx512bw,64,65536,9,6.705,0.019,6.682,6.740,28.832,0.450,9.545,76.363,5366.019,5372.131,54
radix8,avx512bw,64,32768,9,12.208,0.029,12.170,12.256,52.501,0.820,5.242,83.876,5390.938,5390.938,1
codec,avx512bw,64,14564,9,21.065,0.051,20.993,21.148,90.591,1.415,3.038,109.375,5401.040,5398.115,206
copy,avx512vbmi,64,262144,9,1.497,0.002,1.494,1.501,6.437,0.101,42.756,85.512,5357.624,5348.617,123
xor,avx512vbmi,64,174763,9,1.685,0.000,1.684,1.692,7.244,0.113,37.993,113.978,5343.629,5343.629,23
mul,avx512vbmi,64,262144,9,2.292,0.049,2.240,2.372,9.856,0.154,27.922,55.844,5351.876,5357.712,195
radix4,avx512vbmi,64,65536,9,12.587,0.098,12.476,12.711,54.127,0.846,5.084,40.675,5378.249,5378.249,13
radix8,avx512vbmi,64,32768,9,18.537,0.017,18.464,18.571,79.710,1.245,3.453,55.242,5393.694,5393.694,58
codec,avx512vbmi,64,14564,9,32.431,0.335,31.210,32.766,139.461,2.179,1.973,71.043,5393.673,5374.552,142
copy,scalar,256,65536,9,4.531,0.013,4.498,4.554,19.486,0.076,56.496,112.991,5300.844,5300.844,59
xor,scalar,256,43691,9,4.611,0.021,4.589,4.708,19.828,0.077,55.521,166.563,5328.072,5328.072,164
mul,scalar,256,65536,9,70.550,0.380,70.000,71.591,303.364,1.185,3.629,7.257,5411.327,5423.541,39
radix4,scalar,256,16384,9,278.917,1.312,277.062,285.875,1199.334,4.685,0.918,7.343,5457.358,5457.358,206
radix8,scalar,256,8192,9,691.924,1.069,689.262,693.521,2975.246,11.622,0.370,5.920,5515.946,5516.839,159
codec,scalar,256,3641,9,1171.970,1.159,1170.810,1188.075,5039.432,19.685,0.218,7.864,5542.686,5542.896,227
copy,avx2,256,65536,9,2.695,0.005,2.676,2.703,11.592,0.045,94.979,189.957,5543.395,5543.395,181
xor,avx2,256,43691,9,3.365,0.014,3.301,3.535,14.470,0.057,76.087,228.260,5541.604,5541.604,42
mul,avx2,256,65536,9,6.179,0.020,6.148,6.240,26.573,0.104,41.428,82.855,5495.519,5495.519,169
radix4,avx2,256,16384,9,21.436,0.544,20.830,22.397,92.183,0.360,11.943,95.541,5528.135,5528.135,64
radix8,avx2,256,8192,9,53.415,0.261,52.636,54.560,229.703,0.897,4.793,76.683,5484.991,5484.991,168
codec,avx2,256,3641,9,134.611,3.988,127.519,146.336,578.864,2.261,1.902,68.464,5430.798,5430.798,52
copy,avx512bw,256,65536,9,2.106,0.012,2.074,2.128,9.059,0.035,121.555,243.109,5385.988,5385.988,98
xor,avx512bw,256,43691,9,2.653,0.002,2.634,2.707,11.408,0.045,96.512,289.537,5367.579,5367.579,253
mul,avx512bw,256,65536,9,3.701,0.002,3.688,3.722,15.916,0.062,69.166,138.333,5352.074,5352.074,126
radix4,avx512bw,256,16384,9,16.464,0.024,16.441,16.560,70.807,0.277,15.549,124.389,5337.431,5337.431,151
radix8,avx512bw,256,8192,9,23.588,0.060,23.484,23.827,101.448,0.396,10.853,173.648,5342.545,5342.545,127
