kind,bytes,multiplier,passes,kernel,repetitions,samples,median_ns,mad_ns,median_cycles,cycles_per_input_byte,effective_gib_s,internal_gib_s
mul,64,93,1,scalar_table,100000,9,1405526.000,2101.000,6043865.000,0.944,4.241,4.241
mul,64,93,1,avx2_nibble,100000,9,229123.000,421.000,985302.000,0.154,26.014,26.014
mul,64,93,1,avx512_nibble,100000,9,208122.000,2730.000,895045.000,0.140,28.639,28.639
mul,64,93,1,gfni_xmm,100000,9,235263.000,481.000,1011704.000,0.158,25.335,25.335
mul,64,93,1,gfni_ymm,100000,9,199572.000,229.000,858323.000,0.134,29.866,29.866
mul,64,93,1,gfni_zmm,100000,9,181682.000,30.000,781310.000,0.122,32.807,32.807
mul,64,93,1,gfni_mul_xmm,100000,9,290783.000,280.000,1250440.000,0.195,20.498,20.498
mul,64,93,1,gfni_mul_ymm,100000,9,255512.000,1021.000,1098822.000,0.172,23.328,23.328
mul,64,93,1,gfni_mul_zmm,100000,9,236913.000,221.000,1018842.000,0.159,25.159,25.159
mul,256,93,1,scalar_table,100000,9,6227278.000,1350.000,26777089.000,1.046,3.829,3.829
mul,256,93,1,avx2_nibble,100000,9,475595.000,1780.000,2045166.000,0.080,50.131,50.131
mul,256,93,1,avx512_nibble,100000,9,346514.000,3820.000,1490079.000,0.058,68.805,68.805
mul,256,93,1,gfni_xmm,100000,9,527076.000,771.000,2266573.000,0.089,45.234,45.234
mul,256,93,1,gfni_ymm,100000,9,321464.000,3690.000,1382407.000,0.054,74.166,74.166
mul,256,93,1,gfni_zmm,100000,9,245912.000,3081.000,1057542.000,0.041,96.953,96.953
mul,256,93,1,gfni_mul_xmm,100000,9,609047.000,960.000,2618958.000,0.102,39.146,39.146
mul,256,93,1,gfni_mul_ymm,100000,9,385064.000,850.000,1655930.000,0.065,61.917,61.917
mul,256,93,1,gfni_mul_zmm,100000,9,280243.000,860.000,1205161.000,0.047,85.076,85.076
mul,1024,93,1,scalar_table,65536,9,13718449.000,97391.000,58988819.000,0.879,4.556,4.556
mul,1024,93,1,avx2_nibble,65536,9,1003480.000,8951.000,4315007.000,0.064,62.283,62.283
mul,1024,93,1,avx512_nibble,65536,9,547676.000,22370.000,2355153.000,0.035,114.119,114.119
mul,1024,93,1,gfni_xmm,65536,9,954240.000,1830.000,4103318.000,0.061,65.497,65.497
mul,1024,93,1,gfni_ymm,65536,9,579406.000,1160.000,2491592.000,0.037,107.869,107.869
mul,1024,93,1,gfni_zmm,65536,9,352663.000,289.000,1516567.000,0.023,177.223,177.223
mul,1024,93,1,gfni_mul_xmm,65536,9,1206233.000,1180.000,5186918.000,0.077,51.814,51.814
mul,1024,93,1,gfni_mul_ymm,65536,9,671567.000,15341.000,2887837.000,0.043,93.066,93.066
mul,1024,93,1,gfni_mul_zmm,65536,9,385984.000,3669.000,1659800.000,0.025,161.924,161.924
mul,16384,93,1,scalar_table,4096,9,12500756.000,122771.000,53752795.000,0.801,5.000,5.000
mul,16384,93,1,avx2_nibble,4096,9,806959.000,2631.000,3469971.000,0.052,77.451,77.451
mul,16384,93,1,avx512_nibble,4096,9,445694.000,8811.000,1916639.000,0.029,140.231,140.231
mul,16384,93,1,gfni_xmm,4096,9,888159.000,2310.000,3819174.000,0.057,70.370,70.370
mul,16384,93,1,gfni_ymm,4096,9,492495.000,1310.000,2117836.000,0.032,126.905,126.905
mul,16384,93,1,gfni_zmm,4096,9,297693.000,800.000,1280196.000,0.019,209.948,209.948
mul,16384,93,1,gfni_mul_xmm,4096,9,1214063.000,850.000,5220587.000,0.078,51.480,51.480
mul,16384,93,1,gfni_mul_ymm,4096,9,619037.000,569.000,2661915.000,0.040,100.963,100.963
mul,16384,93,1,gfni_mul_zmm,4096,9,353284.000,4010.000,1519276.000,0.023,176.911,176.911
mul,65536,93,1,scalar_table,1024,9,12381865.000,107180.000,53241568.000,0.793,5.048,5.048
mul,65536,93,1,avx2_nibble,1024,9,1177463.000,77750.000,5063207.000,0.075,53.080,53.080
mul,65536,93,1,avx512_nibble,1024,9,718058.000,19060.000,3087744.000,0.046,87.040,87.040
mul,65536,93,1,gfni_xmm,1024,9,826039.000,1300.000,3552101.000,0.053,75.662,75.662
mul,65536,93,1,gfni_ymm,1024,9,618416.000,23740.000,2659292.000,0.040,101.065,101.065
mul,65536,93,1,gfni_zmm,1024,9,578526.000,1009.000,2487808.000,0.037,108.033,108.033
mul,65536,93,1,gfni_mul_xmm,1024,9,1238374.000,2580.000,5325034.000,0.079,50.469,50.469
mul,65536,93,1,gfni_mul_ymm,1024,9,627457.000,2180.000,2698207.000,0.040,99.608,99.608
