kind,bytes,multiplier,passes,kernel,repetitions,samples,median_ns,mad_ns,median_cycles,cycles_per_input_byte,effective_gib_s,internal_gib_s
mul,64,93,1,scalar_table,100000,9,1466256.000,3541.000,6304961.000,0.985,4.065,4.065
mul,64,93,1,avx2_nibble,100000,9,196653.000,221.000,845681.000,0.132,30.310,30.310
mul,64,93,1,avx512_nibble,100000,9,187612.000,310.000,806895.000,0.126,31.770,31.770
mul,64,93,1,gfni_xmm,100000,9,243993.000,30.000,1049286.000,0.164,24.429,24.429
mul,64,93,1,gfni_ymm,100000,9,206303.000,111.000,887262.000,0.139,28.892,28.892
mul,64,93,1,gfni_zmm,100000,9,187472.000,10.000,806250.000,0.126,31.794,31.794
mul,64,93,1,gfni_mul_xmm,100000,9,299523.000,60.000,1288065.000,0.201,19.900,19.900
mul,64,93,1,gfni_mul_ymm,100000,9,262063.000,11.000,1126987.000,0.176,22.744,22.744
mul,64,93,1,gfni_mul_zmm,100000,9,243393.000,491.000,1046749.000,0.164,24.489,24.489
mul,256,93,1,scalar_table,100000,9,6429620.000,32270.000,27647194.000,1.080,3.708,3.708
mul,256,93,1,avx2_nibble,100000,9,419815.000,4161.000,1805355.000,0.071,56.791,56.791
mul,256,93,1,avx512_nibble,100000,9,302833.000,2739.000,1302255.000,0.051,78.729,78.729
mul,256,93,1,gfni_xmm,100000,9,540476.000,760.000,2324107.000,0.091,44.113,44.113
mul,256,93,1,gfni_ymm,100000,9,315783.000,320.000,1358026.000,0.053,75.501,75.501
mul,256,93,1,gfni_zmm,100000,9,243832.000,530.000,1048641.000,0.041,97.780,97.780
mul,256,93,1,gfni_mul_xmm,100000,9,613377.000,510.000,2637663.000,0.103,38.870,38.870
mul,256,93,1,gfni_mul_ymm,100000,9,376935.000,719.000,1620928.000,0.063,63.252,63.252
mul,256,93,1,gfni_mul_zmm,100000,9,277853.000,730.000,1194884.000,0.047,85.807,85.807
mul,1024,93,1,scalar_table,65536,9,14252235.000,131402.000,61284116.000,0.913,4.385,4.385
mul,1024,93,1,avx2_nibble,65536,9,991741.000,13240.000,4264568.000,0.064,63.020,63.020
mul,1024,93,1,avx512_nibble,65536,9,557916.000,18391.000,2399185.000,0.036,112.024,112.024
mul,1024,93,1,gfni_xmm,65536,9,957361.000,2601.000,4116734.000,0.061,65.284,65.284
mul,1024,93,1,gfni_ymm,65536,9,577546.000,1750.000,2483508.000,0.037,108.216,108.216
mul,1024,93,1,gfni_zmm,65536,9,352944.000,1679.000,1517771.000,0.023,177.082,177.082
mul,1024,93,1,gfni_mul_xmm,65536,9,1208013.000,1370.000,5194486.000,0.077,51.738,51.738
mul,1024,93,1,gfni_mul_ymm,65536,9,672007.000,16880.000,2889729.000,0.043,93.005,93.005
mul,1024,93,1,gfni_mul_zmm,65536,9,388594.000,5950.000,1671066.000,0.025,160.836,160.836
mul,16384,93,1,scalar_table,4096,9,13639198.000,164822.000,58648001.000,0.874,4.582,4.582
mul,16384,93,1,avx2_nibble,4096,9,808179.000,3670.000,3475303.000,0.052,77.334,77.334
mul,16384,93,1,avx512_nibble,4096,9,468855.000,15621.000,2016184.000,0.030,133.303,133.303
mul,16384,93,1,gfni_xmm,4096,9,887370.000,3109.000,3815734.000,0.057,70.433,70.433
mul,16384,93,1,gfni_ymm,4096,9,490565.000,849.000,2109537.000,0.031,127.404,127.404
mul,16384,93,1,gfni_zmm,4096,9,303303.000,340.000,1304319.000,0.019,206.065,206.065
mul,16384,93,1,gfni_mul_xmm,4096,9,1205663.000,1430.000,5184381.000,0.077,51.839,51.839
mul,16384,93,1,gfni_mul_ymm,4096,9,621986.000,579.000,2674686.000,0.040,100.485,100.485
mul,16384,93,1,gfni_mul_zmm,4096,9,352403.000,3921.000,1515492.000,0.023,177.354,177.354
mul,65536,93,1,scalar_table,1024,9,13324454.000,126040.000,57294619.000,0.854,4.691,4.691
mul,65536,93,1,avx2_nibble,1024,9,1193313.000,52421.000,5131276.000,0.076,52.375,52.375
mul,65536,93,1,avx512_nibble,1024,9,721707.000,20959.000,3103568.000,0.046,86.600,86.600
mul,65536,93,1,gfni_xmm,1024,9,823629.000,1530.000,3541652.000,0.053,75.884,75.884
mul,65536,93,1,gfni_ymm,1024,9,618366.000,17800.000,2659077.000,0.040,101.073,101.073
mul,65536,93,1,gfni_zmm,1024,9,568346.000,2779.000,2444034.000,0.036,109.968,109.968
mul,65536,93,1,gfni_mul_xmm,1024,9,1235643.000,2700.000,5313338.000,0.079,50.581,50.581
mul,65536,93,1,gfni_mul_ymm,1024,9,632326.000,3429.000,2719148.000,0.041,98.841,98.841
mul,65536,93,1,gfni_mul_zmm,1024,9,586696.000,1481.000,2522939.000,0.038,106.529,106.529
mul,1048576,93,1,scalar_table,64,9,12763238.000,143422.000,54881502.000,0.818,4.897,4.897
mul,1048576,93,1,avx2_nibble,64,9,1057981.000,52671.000,4549443.000,0.068,59.075,59.075
mul,1048576,93,1,avx512_nibble,64,9,917310.000,1330.000,3944519.000,0.059,68.134,68.134
mul,1048576,93,1,gfni_xmm,64,9,978621.000,2740.000,4208152.000,0.063,63.865,63.865
mul,1048576,93,1,gfni_ymm,64,9,924630.000,1320.000,3975952.000,0.059,67.595,67.595
mul,1048576,93,1,gfni_zmm,64,9,908880.000,979.000,3908313.000,0.058,68.766,68.766
mul,1048576,93,1,gfni_mul_xmm,64,9,1230774.000,1689.000,5292440.000,0.079,50.781,50.781
mul,1048576,93,1,gfni_mul_ymm,64,9,929140.000,710.000,3995345.000,0.060,67.267,67.267
mul,1048576,93,1,gfni_mul_zmm,64,9,921630.000,850.000,3963095.000,0.059,67.815,67.815
mul,16777216,93,1,scalar_table,4,9,12571546.000,167311.000,54057235.000,0.806,4.972,4.972
mul,16777216,93,1,avx2_nibble,4,9,1140942.000,62311.000,4906128.000,0.073,54.779,54.779
mul,16777216,93,1,avx512_nibble,4,9,821009.000,400.000,3530429.000,0.053,76.126,76.126
mul,16777216,93,1,gfni_xmm,4,9,851280.000,4871.000,3660547.000,0.055,73.419,73.419
mul,16777216,93,1,gfni_ymm,4,9,852930.000,1159.000,3667685.000,0.055,73.277,73.277
mul,16777216,93,1,gfni_zmm,4,9,838799.000,750.000,3606926.000,0.054,74.511,74.511
mul,16777216,93,1,gfni_mul_xmm,4,9,1212544.000,1149.000,5214008.000,0.078,51.545,51.545
mul,16777216,93,1,gfni_mul_ymm,4,9,847379.000,1120.000,3643863.000,0.054,73.757,73.757
mul,16777216,93,1,gfni_mul_zmm,4,9,836179.000,1390.000,3595875.000,0.054,74.745,74.745
special,65536,0,1,scalar_table,1024,9,278853.000,420.000,1199184.000,0.018,224.132,224.132
special,65536,0,1,avx2_nibble,1024,9,283033.000,120.000,1217158.000,0.018,220.822,220.822
special,65536,0,1,avx512_nibble,1024,9,276463.000,440.000,1188950.000,0.018,226.070,226.070
special,65536,0,1,gfni_xmm,1024,9,272962.000,2941.000,1173857.000,0.017,228.970,228.970
special,65536,0,1,gfni_ymm,1024,9,281383.000,1370.000,1210020.000,0.018,222.117,222.117
special,65536,0,1,gfni_zmm,1024,9,281033.000,1110.000,1208558.000,0.018,222.394,222.394
special,65536,0,1,gfni_mul_xmm,1024,9,277393.000,1720.000,1192906.000,0.018,225.312,225.312
special,65536,0,1,gfni_mul_ymm,1024,9,276783.000,1390.000,1190283.000,0.018,225.809,225.809
special,65536,0,1,gfni_mul_zmm,1024,9,245922.000,1699.000,1057585.000,0.016,254.146,254.146
special,65536,1,1,scalar_table,1024,9,562396.000,2631.000,2418363.000,0.036,111.132,111.132
special,65536,1,1,avx2_nibble,1024,9,554106.000,1890.000,2382802.000,0.036,112.794,112.794
special,65536,1,1,avx512_nibble,1024,9,562436.000,991.000,2418578.000,0.036,111.124,111.124
special,65536,1,1,gfni_xmm,1024,9,560516.000,1050.000,2410279.000,0.036,111.504,111.504
special,65536,1,1,gfni_ymm,1024,9,557716.000,3240.000,2398325.000,0.036,112.064,112.064
special,65536,1,1,gfni_zmm,1024,9,546536.000,3081.000,2350208.000,0.035,114.357,114.357
special,65536,1,1,gfni_mul_xmm,1024,9,558716.000,380.000,2402582.000,0.036,111.864,111.864
special,65536,1,1,gfni_mul_ymm,1024,9,546766.000,5500.000,2351197.000,0.035,114.308,114.308
special,65536,1,1,gfni_mul_zmm,1024,9,554816.000,1320.000,2385812.000,0.036,112.650,112.650
chain,256,-1,12,scalar_table,20000,9,14445377.000,144531.000,62114532.000,12.132,0.330,3.961
chain,256,-1,12,avx2_nibble,20000,9,1743458.000,1709.000,7496878.000,1.464,2.735,32.820
chain,256,-1,12,avx512_nibble,20000,9,1509187.000,1271.000,6489560.000,1.267,3.160,37.915
chain,256,-1,12,gfni_xmm,20000,9,1692108.000,1040.000,7276159.000,1.421,2.818,33.816
chain,256,-1,12,gfni_ymm,20000,9,1485576.000,1170.000,6388037.000,1.248,3.210,38.517
chain,256,-1,12,gfni_zmm,20000,9,1321135.000,1539.000,5680945.000,1.110,3.609,43.312
chain,256,-1,12,gfni_mul_xmm,20000,9,1917291.000,920.000,8244390.000,1.610,2.487,29.844
chain,256,-1,12,gfni_mul_ymm,20000,9,1701438.000,3389.000,7316235.000,1.429,2.803,33.631
chain,256,-1,12,gfni_mul_zmm,20000,9,1469756.000,2150.000,6320054.000,1.234,3.244,38.932
chain,1024,-1,12,scalar_table,5461,9,11839358.000,28920.000,50908818.000,9.104,0.440,5.279
chain,1024,-1,12,avx2_nibble,5461,9,1387155.000,12740.000,5964788.000,1.067,3.754,45.053
